"","X","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","fishstock","recruitment_age","AssessmentYear","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits","AssessmentKey","StockDatabaseID","StockKey","FLim","Fpa","Bpa","Blim","FMSY","MSYBtrigger","Fmanagement","Bmanagement","RecruitmentAge","RecruitmentLength"
"46",46,1992,46085089,61461652,34555456,924142,1069819,1238459,716799,716799,NA,0.336,0.399,0.473,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"47",47,1993,40144660,53496158,30125411,650407,760704,889707,671397,671397,NA,0.384,0.456,0.543,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"48",48,1994,28317768,38221151,20980425,691272,805324,938193,568234,568234,NA,0.403,0.478,0.568,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"49",49,1995,37393221,51015517,27408386,718829,845768,995123,579371,579371,NA,0.346,0.419,0.507,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"50",50,1996,34209023,47593236,24588731,818940,965113,1137376,275098,275098,NA,0.198,0.247,0.308,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"51",51,1997,23558565,33302266,16665712,947608,1115708,1313628,264313,264313,NA,0.178,0.219,0.269,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"52",52,1998,16835495,23679920,11969377,1152097,1341099,1561107,391628,391628,NA,0.201,0.246,0.301,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"53",53,1999,54624879,76784304,38860513,1196556,1395830,1628292,363163,363163,NA,0.195,0.236,0.286,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"54",54,2000,38034340,53353642,27113632,1202067,1398625,1627324,388157,388157,NA,0.197,0.238,0.287,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"55",55,2001,65989091,92589657,47030741,1625447,1899308,2219309,374065,374065,NA,0.169,0.207,0.252,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"56",56,2002,34935009,49115597,24848621,1882084,2191288,2551290,394709,394709,NA,0.159,0.194,0.236,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"57",57,2003,16634676,23311860,11870029,1944506,2246761,2595998,482281,482281,NA,0.183,0.222,0.268,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"58",58,2004,20095370,28005907,14419240,1909268,2206681,2550422,587698,587698,NA,0.22,0.27,0.33,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"59",59,2005,18384160,25603510,13200430,1798120,2090680,2430840,663813,663813,NA,0.236,0.288,0.352,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"60",60,2006,21552449,30058354,15453542,1411153,1641301,1908986,514597,514597,NA,0.21,0.256,0.313,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
